cik,trans_date,trans_code,acquired_disposed,shares,price_per_share,value
1652044,2016-02-26,S,D,1513.0,725.56,-1097772.28
1652044,2016-02-26,S,D,600.0,727.39,-436434.0
1652044,2016-02-26,S,D,700.0,728.02,-509614.0
1652044,2016-02-26,S,D,1100.0,729.78,-802758.0
1652044,2016-02-26,S,D,798.0,730.66,-583066.6799999999
1652044,2016-02-26,S,D,1043.0,701.87,-732050.41
1652044,2016-02-26,S,D,1200.0,703.0,-843600.0
1652044,2016-02-26,S,D,2852.0,704.11,-2008121.72
1652044,2016-02-26,S,D,2482.0,705.11,-1750083.02
1652044,2016-02-26,S,D,850.0,706.24,-600304.0
1652044,2016-02-26,S,D,432.0,707.0,-305424.0
1652044,2016-02-26,S,D,2295.0,708.26,-1625456.7
1652044,2016-02-26,S,D,1100.0,709.49,-780439.0
1652044,2016-02-26,S,D,1924.0,710.32,-1366655.6800000002
1065088,2016-02-26,S,D,50922.0,24.33,-1238932.26
1065088,2016-02-26,S,D,27615.0,24.34,-672149.1
895421,2016-02-26,S,D,50000.0,25.13,-1256500.0
1652044,2016-02-29,S,D,1152.0,719.36,-828702.72
1652044,2016-02-29,S,D,1122.0,709.64,-796216.08
1652044,2016-02-29,S,D,1881.0,708.4,-1332500.4
1652044,2016-02-29,S,D,2231.0,707.47,-1578365.57
1652044,2016-02-29,S,D,2068.0,706.53,-1461104.04
1652044,2016-02-29,S,D,1969.0,705.43,-1388991.67
1652044,2016-02-29,S,D,1001.0,704.54,-705244.5399999999
1652044,2016-02-29,S,D,850.0,703.34,-597839.0
1652044,2016-02-29,S,D,222.0,702.14,-155875.08
1652044,2016-02-29,S,D,1750.0,701.3,-1227275.0
1652044,2016-02-29,S,D,1451.0,700.33,-1016178.8300000001
1652044,2016-02-29,S,D,1921.0,699.23,-1343220.83
1652044,2016-02-29,S,D,200.0,730.06,-146012.0
1652044,2016-02-29,S,D,1974.0,729.1,-1439243.4000000001
1652044,2016-02-29,S,D,2176.0,728.16,-1584476.16
1652044,2016-02-29,S,D,2450.0,727.2,-1781640.0
1652044,2016-02-29,S,D,2029.0,726.2,-1473459.8
1652044,2016-02-29,S,D,1230.0,725.29,-892106.7
1652044,2016-02-29,S,D,1094.0,724.21,-792285.74
1652044,2016-02-29,S,D,434.0,723.05,-313803.69999999995
1652044,2016-02-29,S,D,1614.0,721.7,-1164823.8
1652044,2016-02-29,S,D,2003.0,720.63,-1443421.89
1652044,2016-02-29,S,D,200.0,710.46,-142092.0
1652044,2016-02-29,S,D,310.0,719.01,-222893.1
1652044,2016-02-25,S,D,29.0,705.41,-20456.89
1652044,2016-02-25,S,D,1000.0,704.16,-704160.0
1652044,2016-02-25,S,D,602.0,715.36,-430646.72000000003
1652044,2016-02-25,S,D,1615.0,716.59,-1157292.85
1652044,2016-02-25,S,D,1400.0,717.86,-1005004.0
1652044,2016-02-25,S,D,1644.0,718.81,-1181723.64
1652044,2016-02-25,S,D,1512.0,719.85,-1088413.2
1652044,2016-02-25,S,D,1930.0,720.98,-1391491.4000000001
1652044,2016-02-25,S,D,640.0,722.18,-462195.19999999995
1652044,2016-02-25,S,D,400.0,722.91,-289164.0
1652044,2016-02-25,S,D,500.0,724.26,-362130.0
1652044,2016-02-25,S,D,1089.0,725.4,-789960.6
1652044,2016-02-25,S,D,3008.0,726.38,-2184951.04
1652044,2016-02-25,S,D,1350.0,727.21,-981733.5
1652044,2016-02-25,S,D,376.0,728.24,-273818.24
1652044,2016-02-25,S,D,300.0,691.53,-207459.0
1652044,2016-02-25,S,D,710.0,692.53,-491696.3
1652044,2016-02-25,S,D,1318.0,693.96,-914639.28
1652044,2016-02-25,S,D,800.0,695.09,-556072.0
1652044,2016-02-25,S,D,1000.0,696.1,-696100.0
1652044,2016-02-25,S,D,2185.0,696.97,-1522879.45
1652044,2016-02-25,S,D,1610.0,698.19,-1124085.9000000001
1652044,2016-02-25,S,D,1799.0,698.94,-1257393.06
1652044,2016-02-25,S,D,517.0,700.11,-361956.87
1652044,2016-02-25,S,D,598.0,700.81,-419084.37999999995
1652044,2016-02-25,S,D,2497.0,703.36,-1756289.92
1652044,2016-02-25,S,D,2303.0,702.22,-1617212.6600000001
1652044,2016-02-25,S,D,600.0,714.47,-428682.0
50863,2016-02-25,S,D,35586.0,29.32,-1043381.52
1090727,2016-02-26,S,D,4500.0,97.85,-440325.0
1652044,2016-02-24,S,D,400.0,711.54,-284616.0
1652044,2016-02-24,S,D,1300.0,710.17,-923221.0
1652044,2016-02-24,S,D,1516.0,709.38,-1075420.08
1652044,2016-02-24,S,D,562.0,707.95,-397867.9
1652044,2016-02-24,S,D,2398.0,707.09,-1695601.82
1652044,2016-02-24,S,D,2501.0,706.07,-1765881.07
1652044,2016-02-24,S,D,1324.0,704.82,-933181.68
1652044,2016-02-24,S,D,1742.0,703.88,-1226158.96
1652044,2016-02-24,S,D,500.0,716.18,-358090.0
1652044,2016-02-24,S,D,589.0,717.28,-422477.92
1652044,2016-02-24,S,D,500.0,718.06,-359030.0
1652044,2016-02-24,S,D,1931.0,719.59,-1389528.29
1652044,2016-02-24,S,D,707.0,720.31,-509259.17
1652044,2016-02-24,S,D,96.0,713.62,-68507.52
1652044,2016-02-24,S,D,600.0,702.67,-421602.0
1652044,2016-02-24,S,D,407.0,696.81,-283601.67
1652044,2016-02-24,S,D,1100.0,698.24,-768064.0
1652044,2016-02-24,S,D,1579.0,698.98,-1103689.42
1652044,2016-02-24,S,D,1400.0,681.86,-954604.0
1652044,2016-02-24,S,D,1877.0,682.88,-1281765.76
1652044,2016-02-24,S,D,1454.0,684.02,-994565.08
1652044,2016-02-24,S,D,2365.0,685.16,-1620403.4
1652044,2016-02-24,S,D,1683.0,685.93,-1154420.19
1652044,2016-02-24,S,D,803.0,687.2,-551821.6000000001
1652044,2016-02-24,S,D,1893.0,688.27,-1302895.1099999999
1652044,2016-02-24,S,D,426.0,689.17,-293586.42
1652044,2016-02-24,S,D,200.0,690.37,-138074.0
1652044,2016-02-24,S,D,200.0,691.07,-138214.0
1652044,2016-02-24,S,D,100.0,693.14,-69314.0
1652044,2016-02-24,S,D,779.0,694.88,-541311.52
1652044,2016-02-24,S,D,400.0,695.84,-278336.0
104169,2016-02-25,S,D,740.0,67.65,-50061.00000000001
1652044,2016-02-23,S,D,928.0,706.06,-655223.6799999999
1652044,2016-02-23,S,D,100.0,707.35,-70735.0
1652044,2016-02-23,S,D,321.0,717.06,-230176.25999999998
1652044,2016-02-23,S,D,1150.0,718.24,-825976.0
1652044,2016-02-23,S,D,2824.0,719.37,-2031500.8800000001
1652044,2016-02-23,S,D,2660.0,720.31,-1916024.5999999999
1652044,2016-02-23,S,D,2134.0,721.33,-1539318.22
1652044,2016-02-23,S,D,1346.0,722.13,-971986.98
1652044,2016-02-23,S,D,2107.0,723.63,-1524688.41
1652044,2016-02-23,S,D,700.0,704.04,-492828.0
1652044,2016-02-23,S,D,1143.0,705.19,-806032.17
1652044,2016-02-23,S,D,700.0,702.9,-492030.0
1652044,2016-02-23,S,D,390.0,702.12,-273826.8
1652044,2016-02-23,S,D,224.0,724.23,-162227.52000000002
1652044,2016-02-23,S,D,1300.0,725.92,-943696.0
1652044,2016-02-23,S,D,700.0,727.21,-509047.0
1652044,2016-02-23,S,D,1400.0,728.15,-1019410.0
1652044,2016-02-23,S,D,400.0,729.0,-291600.0
1652044,2016-02-23,S,D,100.0,729.86,-72986.0
1652044,2016-02-23,S,D,100.0,694.14,-69414.0
1652044,2016-02-23,S,D,2382.0,695.69,-1657133.58
1652044,2016-02-23,S,D,2937.0,696.73,-2046296.01
1652044,2016-02-23,S,D,3461.0,697.7,-2414739.7
1652044,2016-02-23,S,D,1611.0,698.73,-1125654.03
1652044,2016-02-23,S,D,716.0,699.84,-501085.44
1652044,2016-02-23,S,D,1498.0,700.75,-1049723.5
21344,2016-02-23,S,D,19644.0,43.85,-861389.4
1018724,2016-02-22,S,D,5000.0,555.0,-2775000.0
1065088,2016-02-22,S,D,7971.0,24.0,-191304.0
1800,2016-02-22,S,D,19.0,39.09,-742.71
1800,2016-02-22,S,D,300.0,39.1,-11730.0
1800,2016-02-22,S,D,400.0,39.1,-15640.0
1800,2016-02-22,S,D,154.0,39.09,-6019.860000000001
1045810,2016-02-19,S,D,31976.0,30.61,-978785.36
1045810,2016-02-19,S,D,250000.0,30.09,-7522500.0
1652044,2016-02-22,S,D,3979.0,728.23,-2897627.17
1652044,2016-02-22,S,D,1289.0,729.36,-940145.04
1652044,2016-02-22,S,D,600.0,730.46,-438276.0
1652044,2016-02-22,S,D,2461.0,731.53,-1800295.3299999998
1652044,2016-02-22,S,D,1837.0,732.34,-1345308.58
1652044,2016-02-22,S,D,200.0,733.5,-146700.0
1652044,2016-02-22,S,D,100.0,734.18,-73418.0
1652044,2016-02-22,S,D,500.0,703.75,-351875.0
1652044,2016-02-22,S,D,3873.0,705.23,-2731355.79
1652044,2016-02-22,S,D,3356.0,706.17,-2369906.52
1652044,2016-02-22,S,D,2314.0,707.06,-1636136.8399999999
1652044,2016-02-22,S,D,1600.0,707.87,-1132592.0
1652044,2016-02-22,S,D,3177.0,709.84,-2255161.68
1652044,2016-02-22,S,D,1394.0,710.5,-990437.0
1652044,2016-02-22,S,D,252.0,711.65,-179335.8
1652044,2016-02-22,S,D,200.0,712.85,-142570.0
1652044,2016-02-22,S,D,900.0,725.27,-652743.0
