date,cdv,subyacente,cdv_clp,volumen
2026-07-23,AAPLCL.SN,AAPL,305810.0,0
2026-07-24,AAPLCL.SN,AAPL,305810.0,1
2026-07-27,AAPLCL.SN,AAPL,305810.0,0
2026-07-28,AAPLCL.SN,AAPL,317840.0,0
2026-07-29,AAPLCL.SN,AAPL,317840.0,0
2026-07-30,AAPLCL.SN,AAPL,317840.0,0
2026-07-31,AAPLCL.SN,AAPL,317840.0,7
2026-08-03,AAPLCL.SN,AAPL,317840.0,0
2026-08-04,AAPLCL.SN,AAPL,282530.0,10
2026-08-05,AAPLCL.SN,AAPL,282530.0,2
2026-08-06,AAPLCL.SN,AAPL,282530.0,1
2026-08-07,AAPLCL.SN,AAPL,282530.0,0
2026-08-10,AAPLCL.SN,AAPL,282530.0,1
2026-08-11,AAPLCL.SN,AAPL,282460.0,1
2026-08-12,AAPLCL.SN,AAPL,282460.0,0
2026-08-13,AAPLCL.SN,AAPL,282460.0,0
2026-08-14,AAPLCL.SN,AAPL,282460.0,0
2026-08-17,AAPLCL.SN,AAPL,282460.0,0
2026-08-18,AAPLCL.SN,AAPL,279370.0,0
2026-08-19,AAPLCL.SN,AAPL,279370.0,0
2026-08-20,AAPLCL.SN,AAPL,279370.0,1
2026-08-21,AAPLCL.SN,AAPL,279370.0,0
2026-08-24,AAPLCL.SN,AAPL,279370.0,0
