published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes
2024-05-02,2024-05-02,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 279"
2024-05-02,2024-05-02,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 279"
2024-05-02,2024-05-02,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 279"
2024-05-03,2024-05-03,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 279"
2024-05-03,2024-05-03,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 279"
2024-05-03,2024-05-03,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 279"
2024-05-06,2024-05-06,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 278"
2024-05-06,2024-05-06,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 279"
2024-05-07,2024-05-07,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 278"
2024-05-08,2024-05-08,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 278"
2024-05-09,2024-05-09,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 279"
2024-05-13,2024-05-13,Credicorp Capital,CAP,Mantener,,,,,"Histórico validado, página 277"
2024-05-16,2024-05-16,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 276"
2024-05-16,2024-05-16,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 275"
2024-05-20,2024-05-20,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 275"
2024-05-20,2024-05-20,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 275"
2024-05-20,2024-05-20,Credicorp Capital,VAPORES,Mantener,,,,,"Histórico validado, página 275"
2024-06-18,2024-06-18,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 270"
2024-06-19,2024-06-19,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 270"
2024-06-19,2024-06-19,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 270"
2024-06-24,2024-06-24,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 270"
2024-06-24,2024-06-24,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 270"
2024-06-24,2024-06-24,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 270"
2024-07-01,2024-07-01,Credicorp Capital,COLBUN,Comprar,,,,,"Histórico validado, página 269"
2024-07-01,2024-07-01,Credicorp Capital,CONCHATORO,Mantener,,,,,"Histórico validado, página 269"
2024-07-01,2024-07-01,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 269"
2024-07-09,2024-07-09,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 268"
2024-07-09,2024-07-09,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 267"
2024-07-10,2024-07-10,Credicorp Capital,SALFACORP,Comprar,,,,,"Histórico validado, página 267"
2024-07-12,2024-07-12,Credicorp Capital,ANTARCHILE,Mantener,,,,,"Histórico validado, página 20"
2024-07-15,2024-07-15,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 266"
2024-07-18,2024-07-18,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 266"
2024-07-19,2024-07-19,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 266"
2024-07-25,2024-07-25,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 265"
2024-07-25,2024-07-25,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 265"
2024-07-26,2024-07-26,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 264"
2024-07-27,2024-07-27,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 16"
2024-07-30,2024-07-30,Credicorp Capital,CONCHATORO,Mantener,,,,,"Histórico validado, página 264"
2024-07-30,2024-07-30,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 264"
2024-08-01,2024-08-01,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 264"
2024-08-02,2024-08-02,Credicorp Capital,CENCOSUD,Neutral,,,,,"Histórico validado, página 263"
2024-08-06,2024-08-06,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 262"
2024-08-08,2024-08-08,Credicorp Capital,CAP,Mantener,,,,,"Histórico validado, página 262"
2024-08-08,2024-08-08,Credicorp Capital,CCU,Mantener,,,,,"Histórico validado, página 262"
2024-08-08,2024-08-08,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 262"
2024-08-13,2024-08-13,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 261"
2024-08-17,2024-08-17,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 9"
2024-08-28,2024-08-28,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 299"
2024-08-30,2024-08-30,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 299"
2024-09-05,2024-09-05,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 298"
2024-09-11,2024-09-11,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 296"
2024-09-12,2024-09-12,Credicorp Capital,CONCHATORO,Mantener,,,,,"Histórico validado, página 249"
2024-09-13,2024-09-13,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 295"
2024-09-13,2024-09-13,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 295"
2024-09-13,2024-09-13,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 295"
