published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes,row_number,broker_normalized,signal,published_at_parsed,available_at_parsed
2024-07-27,2024-07-27,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 16",779,Credicorp Capital,1,2024-07-27,2024-07-27
2024-07-30,2024-07-30,Credicorp Capital,CONCHATORO,Mantener,,,,,"Histórico validado, página 264",780,Credicorp Capital,0,2024-07-30,2024-07-30
2024-07-30,2024-07-30,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 264",781,Credicorp Capital,1,2024-07-30,2024-07-30
2024-08-01,2024-08-01,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 264",782,Credicorp Capital,1,2024-08-01,2024-08-01
2024-08-02,2024-08-02,Credicorp Capital,CENCOSUD,Neutral,,,,,"Histórico validado, página 263",783,Credicorp Capital,0,2024-08-02,2024-08-02
2024-08-06,2024-08-06,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 262",784,Credicorp Capital,0,2024-08-06,2024-08-06
2024-08-08,2024-08-08,Credicorp Capital,CAP,Mantener,,,,,"Histórico validado, página 262",785,Credicorp Capital,0,2024-08-08,2024-08-08
2024-08-08,2024-08-08,Credicorp Capital,CCU,Mantener,,,,,"Histórico validado, página 262",786,Credicorp Capital,0,2024-08-08,2024-08-08
2024-08-08,2024-08-08,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 262",787,Credicorp Capital,0,2024-08-08,2024-08-08
2024-08-13,2024-08-13,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 261",788,Credicorp Capital,1,2024-08-13,2024-08-13
2024-08-17,2024-08-17,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 9",789,Credicorp Capital,1,2024-08-17,2024-08-17
2024-08-28,2024-08-28,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 299",790,Credicorp Capital,0,2024-08-28,2024-08-28
2024-08-30,2024-08-30,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 299",791,Credicorp Capital,0,2024-08-30,2024-08-30
2024-09-05,2024-09-05,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 298",792,Credicorp Capital,0,2024-09-05,2024-09-05
2024-09-11,2024-09-11,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 296",793,Credicorp Capital,1,2024-09-11,2024-09-11
2024-09-12,2024-09-12,Credicorp Capital,CONCHATORO,Mantener,,,,,"Histórico validado, página 249",794,Credicorp Capital,0,2024-09-12,2024-09-12
2024-09-13,2024-09-13,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 295",795,Credicorp Capital,0,2024-09-13,2024-09-13
2024-09-13,2024-09-13,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 295",796,Credicorp Capital,0,2024-09-13,2024-09-13
2024-09-13,2024-09-13,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 295",797,Credicorp Capital,1,2024-09-13,2024-09-13
2024-09-25,2024-09-25,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 293",798,Credicorp Capital,0,2024-09-25,2024-09-25
2024-09-25,2024-09-25,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 293",799,Credicorp Capital,0,2024-09-25,2024-09-25
2024-10-01,2024-10-01,Credicorp Capital,CMPC,Mantener,,,,,"Histórico validado, página 292",800,Credicorp Capital,0,2024-10-01,2024-10-01
2024-10-02,2024-10-02,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 291",801,Credicorp Capital,0,2024-10-02,2024-10-02
2024-10-02,2024-10-02,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 291",802,Credicorp Capital,1,2024-10-02,2024-10-02
2024-10-03,2024-10-03,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 291",803,Credicorp Capital,1,2024-10-03,2024-10-03
